ratio_name,description,pressure_bar,concentration_percent,ratio,numerator_name,numerator_gas,numerator_pressure_bar,numerator_concentration_percent,numerator_spectrum_column,numerator_source,numerator_unit,numerator_range_nm,numerator_method,numerator_integral,numerator_n_points,denominator_name,denominator_gas,denominator_pressure_bar,denominator_concentration_percent,denominator_spectrum_column,denominator_source,denominator_unit,denominator_range_nm,denominator_method,denominator_integral,denominator_n_points,status,error_stage,error_message
ArN2_C1_gaussian_over_ArCF4_95_5_VIS,"C1 spectrum, gaussian integral: ArN2 323-450 nm / ArCF4 95/5, 1 bar, 500-750 nm",1.0,0.0,0.15794259273584266,ArN2_C1_gaussian_323_450nm,ArN2,1.0,0.0,C1_spectrum,raw_csv,raw,323-450,gaussian_fit,17.592737502903685,356,ArCF4_500_750nm_hardcut,ArCF4,1.0,5.0,mean_spectrum,raw_csv,raw,500-750,trapz,111.38691089063832,763,ok,,
ArN2_C1_gaussian_over_ArCF4_95_5_VIS,"C1 spectrum, gaussian integral: ArN2 323-450 nm / ArCF4 95/5, 1 bar, 500-750 nm",1.0,0.1,0.6489975400198877,ArN2_C1_gaussian_323_450nm,ArN2,1.0,0.1,C1_spectrum,raw_csv,raw,323-450,gaussian_fit,72.28983115843872,356,ArCF4_500_750nm_hardcut,ArCF4,1.0,5.0,mean_spectrum,raw_csv,raw,500-750,trapz,111.38691089063832,763,ok,,
ArN2_C1_gaussian_over_ArCF4_95_5_VIS,"C1 spectrum, gaussian integral: ArN2 323-450 nm / ArCF4 95/5, 1 bar, 500-750 nm",1.0,0.5,1.335658026778804,ArN2_C1_gaussian_323_450nm,ArN2,1.0,0.5,C1_spectrum,raw_csv,raw,323-450,gaussian_fit,148.77482160917646,356,ArCF4_500_750nm_hardcut,ArCF4,1.0,5.0,mean_spectrum,raw_csv,raw,500-750,trapz,111.38691089063832,763,ok,,
ArN2_C1_gaussian_over_ArCF4_95_5_VIS,"C1 spectrum, gaussian integral: ArN2 323-450 nm / ArCF4 95/5, 1 bar, 500-750 nm",1.0,1.0,1.379049604528834,ArN2_C1_gaussian_323_450nm,ArN2,1.0,1.0,C1_spectrum,raw_csv,raw,323-450,gaussian_fit,153.60807541342325,356,ArCF4_500_750nm_hardcut,ArCF4,1.0,5.0,mean_spectrum,raw_csv,raw,500-750,trapz,111.38691089063832,763,ok,,
ArN2_C1_gaussian_over_ArCF4_95_5_VIS,"C1 spectrum, gaussian integral: ArN2 323-450 nm / ArCF4 95/5, 1 bar, 500-750 nm",1.0,2.0,1.4395515749397794,ArN2_C1_gaussian_323_450nm,ArN2,1.0,2.0,C1_spectrum,raw_csv,raw,323-450,gaussian_fit,160.34720300029525,356,ArCF4_500_750nm_hardcut,ArCF4,1.0,5.0,mean_spectrum,raw_csv,raw,500-750,trapz,111.38691089063832,763,ok,,
ArN2_C1_gaussian_over_ArCF4_95_5_VIS,"C1 spectrum, gaussian integral: ArN2 323-450 nm / ArCF4 95/5, 1 bar, 500-750 nm",1.0,5.0,1.241005735329685,ArN2_C1_gaussian_323_450nm,ArN2,1.0,5.0,C1_spectrum,raw_csv,raw,323-450,gaussian_fit,138.23179525593872,356,ArCF4_500_750nm_hardcut,ArCF4,1.0,5.0,mean_spectrum,raw_csv,raw,500-750,trapz,111.38691089063832,763,ok,,
ArN2_C1_gaussian_over_ArCF4_95_5_VIS,"C1 spectrum, gaussian integral: ArN2 323-450 nm / ArCF4 95/5, 1 bar, 500-750 nm",1.0,10.0,1.2017686962992047,ArN2_C1_gaussian_323_450nm,ArN2,1.0,10.0,C1_spectrum,raw_csv,raw,323-450,gaussian_fit,133.8613026858381,356,ArCF4_500_750nm_hardcut,ArCF4,1.0,5.0,mean_spectrum,raw_csv,raw,500-750,trapz,111.38691089063832,763,ok,,
ArN2_C1_gaussian_over_ArCF4_95_5_VIS,"C1 spectrum, gaussian integral: ArN2 323-450 nm / ArCF4 95/5, 1 bar, 500-750 nm",1.0,20.0,0.7880261793573033,ArN2_C1_gaussian_323_450nm,ArN2,1.0,20.0,C1_spectrum,raw_csv,raw,323-450,gaussian_fit,87.77580181956212,356,ArCF4_500_750nm_hardcut,ArCF4,1.0,5.0,mean_spectrum,raw_csv,raw,500-750,trapz,111.38691089063832,763,ok,,
ArN2_C1_gaussian_over_ArCF4_95_5_VIS,"C1 spectrum, gaussian integral: ArN2 323-450 nm / ArCF4 95/5, 1 bar, 500-750 nm",1.0,50.0,0.4045595440704768,ArN2_C1_gaussian_323_450nm,ArN2,1.0,50.0,C1_spectrum,raw_csv,raw,323-450,gaussian_fit,45.06263788533546,356,ArCF4_500_750nm_hardcut,ArCF4,1.0,5.0,mean_spectrum,raw_csv,raw,500-750,trapz,111.38691089063832,763,ok,,
ArN2_C1_gaussian_over_ArCF4_95_5_VIS,"C1 spectrum, gaussian integral: ArN2 323-450 nm / ArCF4 95/5, 1 bar, 500-750 nm",1.0,100.0,0.1663124466075109,ArN2_C1_gaussian_323_450nm,ArN2,1.0,100.0,C1_spectrum,raw_csv,raw,323-450,gaussian_fit,18.52502967027486,356,ArCF4_500_750nm_hardcut,ArCF4,1.0,5.0,mean_spectrum,raw_csv,raw,500-750,trapz,111.38691089063832,763,ok,,
